tahun,provinsi,kab_kota,sisa_makanan,kayu_ranting,kertas_karbon,plastik,logam,kain,karet_kulit,kaca,jenis_lainnya,sampah_harian,sampah_tahunan
2019,Jawa Timur,Kota Surabaya,54.31,1.61,14.63,19.44,0.48,1.47,2.33,1.12,4.61,"2,224.27","811,860.24"
2019,Jawa Timur,Kota Batu,78.10,0.60,11.20,8.00,0.30,0.50,0.60,0.60,0.10,116.32,"42,457.19"
2019,Banten,Kab. Pandeglang,,,,,,,,,,487.74,"178,026.41"
2019,Banten,Kab. Lebak,30.00,12.00,10.00,15.00,8.00,5.00,5.00,10.00,5.00,510.97,"186,504.05"
2019,Banten,Kab. Tangerang,35.25,17.73,11.35,23.15,1.51,1.26,0.53,2.22,7.00,"2,660.55","971,101.08"
2019,Banten,Kota Tangerang,61.38,2.24,8.94,10.97,1.68,2.32,2.09,1.78,8.60,"1,583.67","578,038.09"
2019,Banten,Kota Cilegon,,,,,,,,,,370.44,"135,211.00"
2019,Banten,Kota Tangerang Selatan,11.00,75.00,4.00,8.00,,,,,2.00,"1,031.26","376,411.56"
2019,Bali,Kab. Jembrana,11.22,30.88,11.10,22.10,2.10,7.00,7.00,2.70,5.90,163.72,"59,757.44"
2019,Bali,Kab. Badung,0.30,51.80,1.60,,,,,,46.30,283.42,"103,447.64"
2019,Bali,Kab. Gianyar,35.20,23.40,10.89,17.01,3.50,0.70,0.70,0.40,8.20,435.37,"158,910.05"
2019,Bali,Kab. Bangli,12.00,70.00,2.00,4.00,1.00,1.00,0.50,0.50,9.00,108.03,"39,430.37"
2019,Bali,Kab. Karangasem,,,,,,,,,,208.30,"76,029.50"
2019,Bali,Kab. Buleleng,2.99,62.57,5.63,10.18,2.82,5.33,4.55,3.33,2.60,335.17,"122,337.78"
2019,Bali,Kota Denpasar,70.00,5.00,2.00,15.00,1.00,1.00,1.00,,5.00,651.53,"237,808.16"
2019,Nusa Tenggara Barat,Kab. Lombok Timur,49.30,29.70,3.50,10.50,1.20,4.00,0.40,1.30,0.10,480.24,"175,289.35"
2019,Nusa Tenggara Barat,Kab. Lombok Utara,,,,,,,,,,72.12,"26,322.30"
2019,Kalimantan Barat,Kab. Sambas,40.00,5.60,14.20,25.00,0.30,1.00,0.90,2.00,11.00,271.60,"99,133.09"
2019,Kalimantan Barat,Kab. Mempawah,10.00,25.00,25.00,20.00,10.00,3.00,2.00,2.00,3.00,70.27,"25,650.20"
2019,Kalimantan Barat,Kab. Sanggau,,,,,,,,,,235.11,"85,815.88"
2019,Kalimantan Barat,Kab. Ketapang,28.00,6.00,9.00,42.00,2.00,3.00,2.00,1.00,7.00,254.86,"93,023.35"
2019,Kalimantan Barat,Kab. Kapuas Hulu,35.65,4.79,11.74,37.02,2.52,1.47,4.45,2.22,0.14,131.60,"48,035.28"
2019,Kalimantan Barat,Kab. Bengkayang,,,,,,,,,,101.84,"37,172.18"
2019,Kalimantan Barat,Kota Pontianak,83.00,1.50,7.20,6.00,2.00,,0.10,,0.20,380.57,"138,907.10"
2019,Kalimantan Tengah,Kab. Kotawaringin Barat,47.00,5.00,10.00,15.00,2.00,2.00,2.00,1.00,16.00,121.63,"44,395.97"
2019,Kalimantan Tengah,Kab. Kotawaringin Timur,45.05,5.00,7.26,20.26,1.82,4.04,1.18,4.33,11.06,251.98,"91,971.20"
2019,Kalimantan Tengah,Kab. Kapuas,39.40,20.00,12.30,13.50,0.16,1.00,,1.00,11.70,178.19,"65,039.72"
2019,Kalimantan Tengah,Kab. Barito Utara,30.00,12.00,14.00,20.00,5.00,5.00,2.00,2.00,10.00,52.29,"19,084.10"
2019,Kalimantan Tengah,Kab. Katingan,56.98,2.06,13.17,14.34,4.02,1.78,3.14,3.28,0.95,44.19,"16,128.90"
2019,Kalimantan Tengah,Kab. Sukamara,,,,,,,,,,25.74,"9,393.93"
2019,Kalimantan Tengah,Kab. Pulang Pisau,23.51,26.74,13.31,25.13,3.19,2.41,0.83,1.79,3.09,63.56,"23,199.04"
2019,Kalimantan Tengah,Kab. Barito Timur,31.00,11.00,5.00,35.00,1.00,6.00,6.00,3.00,2.00,50.75,"18,523.60"
2019,Kalimantan Tengah,Kota Palangkaraya,70.05,1.59,7.14,14.95,0.67,1.30,0.90,1.01,2.39,140.24,"51,188.70"
2019,Kalimantan Selatan,Kab. Tanah Laut,10.00,20.00,3.00,40.00,5.00,1.00,1.00,1.00,19.00,133.77,"48,827.22"
2019,Kalimantan Selatan,Kab. Kotabaru,60.00,3.00,13.00,14.00,2.00,3.00,2.00,3.00,,137.88,"50,327.66"
2019,Kalimantan Selatan,Kab. Barito Kuala,61.70,9.50,10.60,9.80,2.60,1.70,0.80,2.00,1.30,91.27,"33,315.16"
2019,Kalimantan Selatan,Kab. Tapin,51.29,3.11,10.51,32.52,0.65,1.21,0.23,0.14,0.34,75.30,"27,486.25"
2019,Kalimantan Selatan,Kab. Hulu Sungai Selatan,55.18,1.48,13.13,25.35,2.90,0.46,0.90,0.40,0.20,93.06,"33,966.61"
2019,Kalimantan Selatan,Kab. Hulu Sungai Tengah,60.28,2.17,2.90,30.28,1.25,0.30,0.72,2.00,0.10,107.87,"39,372.11"
2019,Kalimantan Selatan,Kab. Hulu Sungai Utara,55.78,8.38,8.72,12.41,0.98,0.84,0.06,6.10,6.73,95.32,"34,793.55"
2019,Kalimantan Selatan,Kab. Tanah Bumbu,3.90,68.20,3.90,11.70,0.20,3.50,0.20,,8.40,180.08,"65,730.48"
2019,Kalimantan Selatan,Kab. Balangan,57.34,10.32,10.80,14.20,2.10,1.70,0.74,1.50,1.30,52.74,"19,248.64"
2019,Kalimantan Selatan,Kota Banjarmasin,59.40,0.10,12.40,15.10,0.50,0.20,0.20,5.70,6.40,496.02,"181,048.83"
2019,Kalimantan Selatan,Kota Banjarbaru,51.00,15.00,11.00,13.00,1.00,4.00,2.00,2.00,1.00,165.51,"60,412.23"
2019,Kalimantan Timur,Kab. Paser,54.99,0.22,10.20,13.64,1.38,13.56,1.20,3.52,1.29,114.61,"41,831.34"
2019,Kalimantan Timur,Kab. Kutai Kartanegara,73.92,0.98,10.43,7.86,2.04,1.57,0.55,1.75,0.90,207.83,"75,858.97"
2019,Kalimantan Timur,Kab. Berau,55.39,1.28,4.02,26.47,9.63,0.05,0.07,0.99,2.10,161.76,"59,040.68"
2019,Kalimantan Timur,Kab. Kutai Timur,30.00,20.00,10.00,25.00,5.00,5.00,2.00,2.00,1.00,211.93,"77,355.18"
2019,Kalimantan Timur,Kab. Penajam Paser Utara,5.00,20.00,40.00,19.00,15.00,0.70,0.20,0.10,,107.91,"39,386.69"
2019,Kalimantan Timur,Kota Balikpapan,42.30,6.36,10.26,7.20,3.87,2.94,0.98,6.56,19.53,458.62,"167,397.98"
2019,Kalimantan Timur,Kota Samarinda,53.39,7.00,17.00,19.90,0.65,0.62,0.06,0.92,0.46,610.94,"222,992.22"
2019,Kalimantan Timur,Kota Bontang,45.00,4.00,27.00,20.00,2.00,0.01,0.02,1.00,0.97,101.71,"37,122.72"
2019,Kalimantan Utara,Kab. Nunukan,46.40,8.20,23.40,21.30,0.20,0.20,0.10,0.10,0.10,44.14,"16,110.07"
2019,Kalimantan Utara,Kota Tarakan,41.00,12.00,16.00,17.00,1.00,2.00,,,11.00,154.30,"56,319.12"
2019,Sulawesi Utara,Kab. Minahasa,,,,,,,,,,171.06,"62,435.08"
2019,Sulawesi Utara,Kab. Kepulauan Sangihe,15.00,35.00,6.00,19.00,5.00,4.00,4.00,7.00,5.00,52.45,"19,145.86"
2019,Sulawesi Utara,Kab. Kepulauan Talaud,60.00,3.00,3.00,20.00,1.00,2.00,2.00,1.00,8.00,64.74,"23,631.71"
2019,Sulawesi Utara,Kab. Minahasa Selatan,,,,,,,,,,95.38,"34,814.43"
2019,Sulawesi Utara,Kab. Minahasa Utara,,,,,,,,,,101.81,"37,161.38"
2019,Sulawesi Utara,Kab. Minahasa Tenggara,40.00,17.00,10.00,16.00,4.00,3.00,2.00,2.00,6.00,43.86,"16,010.51"
2019,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,,,,,,,37.79,"13,794.08"
2019,Sulawesi Utara,Kab. Bolaang Mongondow Selatan,,,,,,,,,,33.04,"12,057.96"
2019,Sulawesi Utara,Kota Bitung,49.11,1.14,18.02,18.92,0.26,1.48,1.48,1.83,7.76,153.30,"55,955.52"
2019,Sulawesi Utara,Kota Tomohon,,,,,,,,,,74.84,"27,317.29"
2019,Sulawesi Utara,Kota Kotamobagu,53.40,5.10,11.80,8.70,5.70,3.50,2.60,2.80,6.40,61.83,"22,566.67"
2019,Sulawesi Tengah,Kab. Banggai,,,,,,,,,,185.48,"67,699.11"
2019,Sulawesi Tengah,Kab. Poso,26.97,24.91,16.99,22.56,2.80,1.75,1.66,1.65,0.71,100.37,"36,633.30"
2019,Sulawesi Tengah,Kab. Donggala,35.00,10.00,20.00,13.00,6.00,3.00,3.00,3.00,7.00,120.64,"44,032.29"
2019,Sulawesi Tengah,Kab. Parigi Moutong,32.84,8.21,37.99,4.19,,,,,16.77,215.61,"78,696.74"
2019,Sulawesi Selatan,Kab. Kepulauan Selayar,43.00,10.00,18.00,15.00,4.00,4.00,2.00,2.00,2.00,67.81,"24,751.38"
2019,Sulawesi Selatan,Kab. Bulukumba,,,,,,,,,,168.60,"61,538.12"
2019,Sulawesi Selatan,Kab. Bantaeng,30.10,27.50,11.00,14.00,1.20,3.00,2.00,1.10,10.00,74.64,"27,245.35"
2019,Sulawesi Selatan,Kab. Sinjai,35.20,14.00,29.00,14.60,1.00,0.70,2.10,1.20,2.20,106.37,"38,825.34"
2019,Sulawesi Selatan,Kab. Bone,73.40,0.50,10.50,8.60,3.10,0.40,1.30,1.90,0.30,376.20,"137,311.91"
2019,Sulawesi Selatan,Kab. Maros,73.98,5.04,8.86,10.18,0.98,,,,0.96,141.25,"51,555.67"
2019,Sulawesi Selatan,Kab. Pangkajene Kepulauan,,,,,,,,,,140.08,"51,130.37"
2019,Sulawesi Selatan,Kab. Barru,50.00,16.00,8.00,15.00,3.00,2.00,1.00,1.00,4.00,72.95,"26,626.46"
2019,Sulawesi Selatan,Kab. Wajo,41.70,17.70,6.30,18.50,2.30,3.10,2.20,2.20,6.00,158.72,"57,934.26"
2019,Sulawesi Selatan,Kab. Sidenreng Rappang,56.00,9.60,6.20,6.60,4.50,3.60,4.20,4.40,4.90,120.79,"44,087.91"
2019,Sulawesi Selatan,Kab. Enrekang,45.00,11.00,9.00,16.00,6.00,3.00,1.00,6.00,3.00,117.40,"42,850.45"
2019,Sulawesi Selatan,Kab. Luwu Utara,38.00,41.81,4.30,6.97,0.44,0.51,0.18,1.00,6.79,131.20,"47,887.12"
2019,Sulawesi Selatan,Kab. Luwu Timur,40.00,10.00,25.00,15.00,3.00,1.00,2.00,2.00,2.00,117.53,"42,898.01"
2019,Sulawesi Selatan,Kota Parepare,54.70,9.25,14.40,12.20,2.45,1.70,1.50,2.20,1.60,73.29,"26,751.58"
2019,Sulawesi Selatan,Kota Palopo,30.00,30.00,20.00,10.00,10.00,,,,,103.77,"37,876.96"
2019,Sulawesi Tenggara,Kab. Kolaka,65.00,4.00,10.00,10.00,5.00,1.00,1.00,2.00,2.00,154.10,"56,245.11"
2019,Sulawesi Tenggara,Kab. Buton,,,,,,,,,,40.46,"14,768.05"
2019,Sulawesi Tenggara,Kab. Bombana,15.00,54.00,6.00,15.00,2.00,2.00,2.00,1.00,3.00,56.02,"20,446.57"
2019,Gorontalo,Kab. Gorontalo,65.00,13.00,14.00,1.00,1.00,1.00,1.00,1.00,3.00,146.56,"53,495.57"
2019,Gorontalo,Kab. Pohuwato,41.00,15.10,12.10,22.40,1.70,,,2.50,5.20,58.19,"21,238.47"
2019,Gorontalo,Kota Gorontalo,21.00,15.00,10.00,35.00,10.00,5.00,2.00,2.00,,139.84,"51,040.47"
2019,Sulawesi Barat,Kab. Pasangkayu,,,,,,,,,,69.59,"25,399.33"
2019,Sulawesi Barat,Kab. Polewali Mandar,65.06,12.35,8.05,6.50,5.55,0.45,0.35,0.27,1.42,177.03,"64,616.10"
2019,Maluku,Kab. Maluku Tenggara,35.00,45.00,7.00,7.00,0.50,2.00,1.50,1.00,1.00,49.80,"18,175.36"
2019,Maluku,Kab. Buru Selatan,22.00,12.00,20.00,31.00,3.00,3.00,2.00,2.00,5.00,30.63,"11,179.95"
2019,Maluku,Kota Ambon,38.00,6.80,11.60,14.60,10.10,5.00,3.00,7.10,3.80,268.89,"98,145.73"
2019,Maluku Utara,Kab. Halmahera Utara,,,,,,,,,,137.44,"50,166.15"
2019,Maluku Utara,Kota Ternate,54.00,5.70,10.60,13.60,6.30,1.60,1.00,3.70,3.50,72.29,"26,384.69"
2019,Maluku Utara,Kota Tidore Kepulauan,34.00,25.00,12.00,11.80,2.30,0.80,1.50,5.80,6.80,45.39,"16,568.81"
2019,Papua,Kab. Biak Numfor,5.69,33.75,27.83,14.79,13.19,0.02,0.21,4.52,0.00,58.17,"21,232.05"
2019,Papua,Kota Jayapura,66.39,10.58,4.79,6.60,4.34,2.05,1.08,0.46,3.71,252.63,"92,211.70"
2019,Papua Selatan,Kab. Asmat,15.00,10.00,30.00,20.00,5.00,5.00,5.00,5.00,5.00,39.00,"14,233.54"
2019,Papua Barat Daya,Kab. Raja Ampat,0.00,0.00,0.00,0.00,0.00,,,0.00,,33.13,"12,090.99"
2018,Papua Barat,Kab. Manokwari,44.00,,11.00,26.00,,,,,19.00,150.22,"54,830.04"
